source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin,w2mpro_raw
562218812549381888,12.308356,13.631555,11.170665,2564.6707,814.937,1565.9235,2.4608898,1.4984958,8.623,0.023,8.538,0.02,8.42,0.021,8.237,0.159,0000,0.0,9.68,0.027,9.019,0.032,8.763,0.021,36.83855312811658,9.476843177502808,True,3238.058152575288,0.1705615987422125,6.314517825320182e-13,,,,validation,8.538
2924309782922016000,12.988341,14.27912,11.865223,1840.5088,373.8337,974.6702,2.4138975,1.1937952,9.395,0.023,9.273,0.02,9.138,0.028,8.665,0.251,0000,0.0,10.352,0.026,9.747,0.022,9.529,0.024,49.569705807873376,9.51225929294614,True,3463.791082888152,0.1360458972585043,3.659655605291633e-13,,,,validation,9.273
4572466438664619264,11.802589,13.136673,10.65691,2728.1924,1269.5099,2110.8901,2.479763,26.296062,8.131,0.024,7.997,0.021,7.893,0.019,7.644,0.143,0000,0.0,9.114,0.021,8.538,0.016,8.268,0.021,28.270703949287512,9.545905886543416,True,3405.322855275475,0.1283132981223344,1.163363903562701e-12,,,,validation,7.997
6724979566416615680,13.469022,14.716866,12.359675,2866.7834,654.761,1080.1534,2.3571901,1.0660374,9.861,0.023,9.75,0.021,9.592,0.047,8.912,0.46,hh00,0.0,10.898,0.022,10.284,0.021,10.069,0.022,59.9747729411836,9.579178937774206,True,3448.32016597488,0.1075354951815626,2.294304149771947e-13,,,,validation,9.75
3861654131475582976,12.146413,13.439596,10.907946,961.27075,39.556385,61.028374,2.5316505,1.3065344,7.707,0.028,7.607,0.02,7.526,0.019,7.402,0.153,0000,0.0,8.879,0.033,8.13,0.042,7.966,0.027,32.10847284108799,9.613314750345754,True,3246.9903108096696,0.1454256144926302,1.3834557094548602e-12,,,,validation,7.607
1072120632760312576,14.406542,15.346006,12.544339,1055.776,195.84933,592.6315,2.8016672,1.9125619,9.81,0.023,9.649,0.02,9.493,0.03,9.029,0.374,0000,0.0,10.855,0.024,10.25,0.033,9.979,0.023,89.38862252815797,9.6501307755777,True,3332.320150209911,0.1162740063420456,2.244640123433304e-13,,,,validation,9.649
2156905882832596480,13.376191,14.643903,11.957863,766.1726,294.0936,533.8575,2.68604,20.242882,9.235,0.024,9.095,0.02,8.971,0.023,8.822,0.202,0000,0.0,10.266,0.022,9.659,0.019,9.383,0.015,54.817387249619,9.681599339979885,True,3315.7901035597165,0.1317397562339402,3.9655484016573773e-13,,,,validation,9.095
4703464251158954240,12.677046,14.106598,11.503058,2247.893,697.03876,1243.3141,2.6035395,1.4002777,8.929,0.023,8.761,0.02,8.639,0.023,8.713,0.39,0000,0.0,9.905,0.023,9.35,0.024,9.085,0.019,38.93605565943736,9.725286229681435,True,3471.585435441216,0.1003324464468713,5.624397128271868e-13,,,,validation,8.761
2005328515516459136,13.183288,14.582794,12.018869,2418.4255,591.29474,1275.5251,2.5639248,1.9772191,9.401,0.022,9.292,0.02,9.119,0.028,8.832,0.338,0h00,0.0,10.403,0.022,9.809,0.028,9.57,0.025,48.2334332471481,9.766547119871802,True,3438.093203183127,0.123328050663684,3.463324798913259e-13,,,,validation,9.292
5716624595081790848,12.613303,14.063869,11.426732,1435.8857,277.2965,645.6502,2.6371374,7.995791,8.809,0.023,8.649,0.021,8.514,0.027,8.373,0.281,0000,0.0,9.764,0.024,9.176,0.024,8.921,0.019,36.46967527775194,9.80364351791263,True,3412.822085395034,0.1334904500652646,6.239088919417185e-13,,,,validation,8.649
5887154931543091456,12.956733,14.398918,11.780348,2562.7576,548.9235,1586.297,2.6185703,1.2165254,9.185,0.023,9.043,0.02,8.824,0.028,9.037,0.522,0h00,0.0,10.184,0.023,9.598,0.026,9.378,0.025,41.88723252892212,9.846324661684172,True,3508.489975699504,0.0975387737282986,4.40900552259799e-13,,,,validation,9.043
5217419897731009536,14.071628,15.255057,12.992552,2663.1477,584.1873,1603.2751,2.2625055,1.1542656,10.631,0.023,10.498,0.019,10.34,0.039,9.736,0.481,d000,0.0,11.594,0.026,10.985,0.022,10.749,0.019,68.80416606641597,9.883554323002794,True,3407.818817400544,0.1432794678525737,1.1491181047413461e-13,,,,validation,10.498
2565529071371410048,11.902033,13.18495,10.774956,1720.454,576.546,1059.497,2.4099941,2.047648,8.361,0.023,8.209,0.02,8.108,0.02,8.069,0.197,0000,0.0,9.34,0.024,8.775,0.046,8.496,0.021,24.87768530375008,9.92298315096988,True,3410.318554900457,0.1230851685211498,9.01555150106602e-13,,,,validation,8.209
5293117047052814592,13.114071,14.355186,12.012349,3020.9387,681.74097,2023.9706,2.3428373,1.1540011,9.601,0.023,9.476,0.019,9.384,0.027,8.986,0.255,dd00,1.0,10.581,0.023,10.007,0.022,9.75,0.019,42.60741540748009,9.96664504787988,True,3443.198704630562,0.1209612652681029,2.969283074759884e-13,,,,validation,9.476
2479453696216295296,11.660093,13.203291,10.445261,1549.7971,425.0,684.92816,2.75803,1.6315837,7.748,0.026,7.589,0.02,7.481,0.017,7.35,0.132,0000,0.0,8.77,0.023,8.174,0.034,7.912,0.018,21.4111621933773,10.00689179326345,True,3375.6924777191234,0.1127455637754185,1.5648905837551009e-12,,,,validation,7.589
6136835437886585088,13.382628,14.746551,12.232751,1648.4165,322.9493,592.2194,2.5137997,1.2479742,9.724,0.022,9.58,0.021,9.411,0.034,9.166,0.425,0000,0.0,10.699,0.023,10.125,0.022,9.892,0.023,46.53159270392318,10.043888409944124,True,3505.824257155825,0.1043041487253239,2.738970071998508e-13,,,,validation,9.58
2135672870194544256,13.556787,15.169912,12.291274,535.7767,228.30539,634.1898,2.8786383,11.25115,9.547,0.023,9.364,0.02,9.219,0.027,9.027,0.339,0000,0.0,10.505,0.021,9.939,0.018,9.704,0.016,49.42291949447694,10.087145018375535,True,3521.8861382324976,0.098176513048942,3.354899167630656e-13,,,,validation,9.364
3926309980739042048,12.425529,13.764286,11.2848215,2188.633,940.352,1604.4517,2.4794645,1.3017577,8.766,0.024,8.628,0.02,8.434,0.026,8.069,0.265,0000,0.0,9.728,0.02,9.167,0.022,8.923,0.017,28.72374452157932,10.134323723427476,True,3511.160074906796,0.1078398893521912,6.729970249814498e-13,,,,validation,8.628
2027709212150159232,12.993243,14.373422,11.827184,1714.0219,1334.1554,2462.5933,2.546238,5.8915625,9.33,0.023,9.153,0.019,9.022,0.041,8.776,0.431,0000,0.0,10.244,0.022,9.73,0.026,9.492,0.021,36.5381934159123,10.179507647930071,True,3659.5844753381225,0.0793190822715313,4.299632406574407e-13,,,,validation,9.153
2073731710855755776,13.538693,14.972233,12.367903,2262.7698,640.3789,1582.7639,2.60433,1.2043943,9.808,0.023,9.655,0.02,9.565,0.038,8.955,0.37,hh00,0.0,10.765,0.023,10.194,0.024,9.996,0.02,45.864194264226576,10.231324158571518,True,3610.446806456423,0.0894651303594078,2.6717533748908213e-13,,,,validation,9.655
1393681260799837184,12.688842,13.933574,11.234962,1197.5093,630.74316,1308.5312,2.6986113,34.721027,8.621,0.023,8.433,0.02,8.281,0.021,7.911,0.139,0000,0.0,9.595,0.02,9.05,0.017,8.778,0.018,30.26954165837256,10.283812775419754,True,3479.4196591784307,0.0935374072970201,7.646685548220551e-13,,,,validation,8.433
357578743476642048,13.355287,14.768757,12.192747,2234.2095,926.05945,1767.703,2.5760098,1.328895,9.609,0.022,9.485,0.02,9.34,0.034,8.997,0.455,0000,0.0,10.607,0.025,10.014,0.032,9.781,0.019,40.28126132662703,10.329771694239383,True,3456.0365785593667,0.1164094147063325,2.899901479585016e-13,,,,validation,9.485
3452063544502142848,13.327613,15.159533,12.043386,1450.6112,216.57333,729.1379,3.116146,1.3722384,9.162,0.022,8.971,0.022,8.804,0.027,8.47,0.357,0,0.0,10.163,0.019,9.591,0.024,9.345,0.025,38.7670008159519,10.385301983030196,True,3476.80355799199,0.0859064000125502,4.5229864944907043e-13,0.1000739989828325,False,201.0,template,8.971
4687511776265158400,11.862555,13.115418,10.717454,2409.7598,191.09993,350.09875,2.3979645,1.6984696,8.276,0.023,8.108,0.019,8.007,0.017,7.759,0.133,0000,0.0,9.281,0.021,8.675,0.026,8.476,0.025,19.27252708415181,10.437861676659097,True,3511.1600749067925,0.0936197377588691,1.0253841893853062e-12,,,,validation,8.108
502780725779792512,12.116898,13.569941,10.935041,3358.653,1240.5382,2118.8875,2.6348991,1.2318757,8.292,0.023,8.163,0.02,8.053,0.02,7.984,0.202,0000,0.0,9.33,0.024,8.713,0.028,8.453,0.02,21.1586968568446,10.489453417898169,True,3329.9477619480645,0.1300579010376579,9.151574574326718e-13,,,,validation,8.163
2776324279552999296,12.992656,14.531172,11.7866745,2659.3853,978.2223,2028.6147,2.7444973,1.4385684,9.184,0.023,8.995,0.019,8.844,0.029,8.681,0.435,0000,0.0,10.164,0.029,9.574,0.033,9.347,0.02,30.72041311937796,10.55552074166294,True,3479.4196591784303,0.1035587257649745,4.4082517239245554e-13,,,,validation,8.995
