source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin
655086283346700928,12.65922,14.144564,11.464502,2107.378,660.0131,1291.6124,2.6800613,1.5205127,8.847,0.023,8.676,0.02,8.548,0.023,8.448,0.319,0000,0.0,9.847,0.021,9.279,0.022,8.983,0.015,25.14623587583034,10.656855075048512,True,3361.093542479379,0.1178068040087861,5.82920127130209e-13,,,,validation
3017863275957247872,12.514736,13.955783,11.337013,3395.9001,1061.4622,2452.5188,2.6187696,1.2028549,8.76,0.023,8.606,0.021,8.466,0.024,8.179,0.244,0000,0.0,9.766,0.023,9.192,0.025,8.95,0.025,23.102549757281107,10.6964364285895,True,3482.0399663426315,0.0925698806433268,6.458312919910169e-13,,,,validation
6613996340143809664,13.872508,14.704336,12.075395,283.62708,351.23392,837.5867,2.6289415,43.354343,9.479,0.023,9.334,0.02,9.241,0.037,8.672,0.365,0000,1.0,10.492,0.024,9.888,0.024,9.636,0.019,42.31034129409589,10.740275357207302,True,3380.589880219907,0.1212935197293079,3.206073332538889e-13,,,,validation
3398414352095226496,13.806641,14.870439,12.326879,1313.3595,25.420216,41.72085,2.54356,1.1229117,9.275,0.023,9.109,0.02,9.007,0.032,8.797,0.463,0,0.0,10.407,0.031,10.012,0.05,9.628,0.028,40.24124157116364,10.783284141849734,True,3582.2339851200704,0.0468343783501433,3.8902548535095466e-13,0.0470721509452882,False,209.0,template
6637285302091801856,13.410644,14.741135,12.276553,2964.7542,828.83203,2004.8588,2.4645815,1.1775345,9.788,0.023,9.63,0.019,9.469,0.037,9.102,0.457,0,0.0,10.794,0.023,10.213,0.026,9.993,0.023,32.67797463959646,10.839368343027544,True,3521.886138232497,0.0861900937227916,2.5418208235645885e-13,0.1343907551792291,False,210.0,template
6432892240886826240,13.520428,15.056159,12.319141,3568.8313,812.6873,1879.2439,2.7370176,1.2018694,9.655,0.023,9.485,0.019,9.324,0.034,9.152,0.536,0,0.0,10.669,0.023,10.084,0.024,9.821,0.021,33.53688778120316,10.892814211655493,True,3400.3435681227525,0.1053949121134903,2.739766979810253e-13,0.1428697140156263,False,211.0,template
106889061549798784,14.140624,15.840713,12.889771,1186.6661,125.92156,586.5693,2.950941,1.5188292,10.09,0.023,9.911,0.021,9.777,0.041,9.296,0.513,0000,0.0,11.097,0.021,10.507,0.022,10.263,0.016,43.72298356553232,10.937075051791387,True,3435.546963809869,0.0996350452153592,1.906837795638123e-13,,,,validation
2469973676898097536,13.347414,14.858564,12.152173,2834.9587,571.6479,1662.6143,2.7063913,1.1862918,9.5,0.023,9.349,0.021,9.234,0.046,8.701,0.54,0000,1.0,10.516,0.026,9.956,0.022,9.689,0.019,29.65126915486785,10.98719756459143,True,3453.460323503029,0.0908518783863928,3.230599629055339e-13,,,,validation
469602107722440576,13.916015,15.3830185,12.602165,3041.506,197.78958,56.094624,2.7808533,1.5361185,9.331,0.023,9.17,0.02,9.089,0.029,9.044,0.524,0000,1.0,10.348,0.022,9.924,0.034,9.53,0.018,37.76398322352812,11.030626019861964,True,3476.803557991982,0.0648499497401869,3.741028013982846e-13,,,,validation
6853658057885526912,12.574094,14.154498,11.356322,2053.9158,608.74365,1037.8577,2.7981758,1.2497897,8.616,0.024,8.462,0.02,8.327,0.024,7.968,0.237,0,0.0,9.668,0.021,9.115,0.021,8.834,0.019,19.765868224221112,11.094514521655192,True,3435.546963809866,0.0754034939757325,7.115163401619289e-13,0.1505755406561455,False,215.0,template
1410100714613759488,14.081678,15.887388,12.804816,1895.578,330.44803,686.4148,3.082572,1.082259,9.897,0.022,9.695,0.02,9.53,0.029,9.011,0.249,dd00,0.0,10.944,0.027,10.345,0.031,10.078,0.022,38.124358846557136,11.175665256487251,True,3356.259692867321,0.0977607474292855,2.1094796941978962e-13,,,,validation
5845484338511952384,13.993574,15.252785,12.625227,1354.03,23.224964,15.459086,2.6275578,1.6715935,9.522,0.023,9.338,0.02,9.168,0.026,8.65,0.313,0000,0.0,10.592,0.032,10.08,0.038,9.81,0.027,35.62780621194345,11.234628592901068,True,3573.866686375285,0.0221353428703117,3.197057717851193e-13,,,,validation
1852401016606588032,13.848638,15.339323,12.661697,3017.7927,615.64514,1616.9662,2.6776257,1.1386224,10.047,0.022,9.869,0.02,9.738,0.043,8.987,0.497,0000,0.0,11.03,0.02,10.485,0.017,10.212,0.016,32.34640283828872,11.299508045508738,True,3476.80355799199,0.0923048192190536,2.041203009026688e-13,,,,validation
818284389075305600,14.194147,15.279805,12.562377,1544.3862,30.788393,34.65855,2.7174282,1.7887299,9.634,0.023,9.458,0.02,9.294,0.035,8.831,0.499,0000,0.0,10.651,0.022,10.099,0.023,9.812,0.019,36.704756891679175,11.370535240329067,True,3422.880245090873,0.0890643299410871,2.8268645837698373e-13,,,,validation
2870375301602980224,13.504137,15.044686,12.297448,2574.8552,637.42554,1649.1022,2.7472382,1.2194571,9.728,0.022,9.531,0.019,9.328,0.036,8.875,0.445,HH00,0.0,10.656,0.021,10.155,0.017,9.902,0.016,25.86277806701788,11.440761134637857,True,3653.725051918751,0.0665752067080354,3.0055726637281895e-13,,,,validation
5771941441689762048,14.62756,15.572781,12.682108,766.27216,171.06158,229.3397,2.8906727,1.7186793,9.9,0.022,9.713,0.019,9.574,0.033,9.237,0.485,dd00,0.0,10.932,0.023,10.374,0.026,10.074,0.025,41.259541149273424,11.549938030802052,True,3375.6924777191207,0.0935165832584737,2.1251619593148014e-13,,,,validation
679817529670473728,13.770422,15.5772,12.49531,2159.2236,409.47623,874.9717,3.08189,1.2438681,9.518,0.022,9.357,0.02,9.163,0.032,8.744,0.433,0,0.0,10.618,0.019,9.991,0.026,9.705,0.022,26.53633343046924,11.651217422602816,True,3246.990310809668,0.1140793220692328,2.8093942334261024e-13,0.1498476882299524,False,226.0,template
